Skill,Course,Platform
Python,Python for Everybody,Coursera
Machine Learning,Machine Learning by Andrew Ng,Coursera
Deep Learning,Deep Learning Specialization,Coursera
TensorFlow,TensorFlow Developer,Google
Keras,Deep Learning with Keras,Udemy
PyTorch,PyTorch Bootcamp,Udemy
OpenCV,OpenCV for Beginners,Udemy
NLP,NLP Specialization,Coursera
Git,Git & GitHub,Udemy
GitHub,GitHub Essentials,GitHub Learning Lab
Flask,Flask Web Development,Udemy
Django,Django Full Course,Udemy
SQL,SQL for Data Science,Coursera
Pandas,Pandas for Data Analysis,DataCamp
NumPy,NumPy Complete Course,Udemy
Matplotlib,Python Data Visualization,DataCamp
Scikit-learn,Machine Learning with Scikit-learn,Coursera
Statistics,Statistics for Data Science,Coursera
CNN,Convolutional Neural Networks,Coursera
RNN,Sequence Models,Coursera
LLM,Generative AI with LLMs,DeepLearning.AI
Generative AI,Google Generative AI,Google
Docker,Docker Essentials,Docker
AWS,AWS Cloud Practitioner,AWS Skill Builder